disease,cohort,model,residualized,n_rows,n_lines,n_drugs,n_pcs,spearman,spearman_lo,spearman_hi,pearson,rmse,r2,rank_k,rank_n_lines_scored,rank_topk_hit_rate@3,rank_kendall_tau,rank_spearman_per_line,rank_ndcg@3,n_features,perm_mean,perm_sd,perm_p,perm_z,n_perm
LUAD,both,enet_expr,False,37968,69,678,50,-0.0596640240049686,-0.07924723821795855,-0.040080809791978644,-0.05343160770573317,0.9425096200590086,-0.00527080368776005,,,,,,,,,,,,
LUAD,both,enet_pathwaypcs,True,37968,69,678,50,0.01404815708982079,-0.03716159914531811,0.06525791332495968,0.010929548601178962,0.9326395029829794,-0.0016685634777937608,,,,,,,50.0,,,,,
LUAD,both,enet_pathway,True,37968,69,678,50,0.013267488452411236,0.00013638653571999837,0.026398590369102474,0.01646202138763053,0.9328295518907822,-0.00207767945304691,,,,,,,1809.0,0.0001,0.0058,0.0297,2.285,100.0
LUAD,both,enet_pcs_pathway,True,37968,69,678,50,0.01289992077532677,0.001848122057034057,0.023951719493619482,0.005806778530475799,0.9325456895772296,-0.00146755353821304,,,,,,,1859.0,-0.0001,0.006,0.0297,2.176,100.0
OV,both,mean,False,20001,38,673,37,-0.08421800214584191,-0.10116983318743453,-0.06726617110424929,-0.08573256363064466,0.8772261020441192,-0.004235687844211622,,,,,,,,,,,,
OV,both,drugmean,False,20001,38,673,37,0.08157789079075098,0.07094613063508082,0.09220965094642114,0.09099737277820666,0.8835658151063063,-0.01881060763777089,3.0,38.0,0.017543859649122806,0.07444152502642792,0.10975991605485345,0.4941654007326331,,,,,,
OV,both,enet_resid,True,20001,38,673,37,0.008026538605152136,-0.03163572147884985,0.04768879868915412,-0.01960319152683329,0.8862757595197456,-0.0061397313336930106,,,,,,,,,,,,
OV,both,enet_expr,False,20001,38,673,37,-0.07956043889259383,-0.09690451810051702,-0.06221635968467064,-0.06827612051181245,0.8795483580271185,-0.009570374655849178,,,,,,,,,,,,
OV,both,enet_pathwaypcs,True,20001,38,673,37,-0.015084715203813853,-0.05444307296625386,0.02427364255862615,-0.048326811433446956,0.8872245274458379,-0.00829768234190693,,,,,,,37.0,,,,,
OV,both,enet_pathway,True,20001,38,673,37,0.015142997302699851,-0.03925526992210286,0.06954126452750256,0.009564556020991525,0.8856595576790728,-0.004742033114150867,,,,,,,1809.0,-0.0011,0.0079,0.0297,2.056,100.0
OV,both,enet_pcs_pathway,True,20001,38,673,37,0.009432896933287858,-0.05387293938646119,0.07273873325303691,0.007429432264990996,0.8863907633677961,-0.006402799260088044,,,,,,,1846.0,-0.0008,0.0077,0.1188,1.336,100.0
PAAD,both,mean,False,21423,37,664,36,-0.06986230119216166,-0.09207816457196576,-0.04764643781235757,-0.07173041360983978,0.8761749522709399,-0.0030632955937438754,,,,,,,,,,,,
